序号,网站标识码,网站名称,首页网址,网站主管单位,网站状态
474,bm71300001,宁夏回族自治区邮政管理局网,http://nx.spb.gov.cn/,宁夏回族自治区邮政管理局办公室,正常
475,bm71310015,新疆维吾尔自治区邮政管理局网,http://xj.spb.gov.cn/,新疆维吾尔自治区邮政管理局办公室,正常
476,bm72000002,国家文物局,http://www.ncha.gov.cn,国家文物局,正常
477,bm73000001,国家中医药管理局政府网站,http://www.satcm.gov.cn/,国家中医药管理局,正常
478,bm74000001,国家外汇管理局政府网站,http://www.safe.gov.cn		,国家外汇管理局,正常
479,bm74010001,国家外汇管理局天津市分局网站,http://www.safe.gov.cn/tianjin/,国家外汇管理局天津市分局,正常
480,bm74020001,国家外汇管理局上海市分局网站,http://www.safe.gov.cn/shanghai/,国家外汇管理局上海市分局,正常
481,bm74030001,国家外汇管理局辽宁省分局网站,http://www.safe.gov.cn/liaoning/,国家外汇管理局辽宁省分局,正常
482,bm74040001,国家外汇管理局江苏省分局网站,http://www.safe.gov.cn/jiangsu/,国家外汇管理局江苏省分局,正常
483,bm74050001,国家外汇管理局山东省分局网站,http://www.safe.gov.cn/shandong/,国家外汇管理局山东省分局,正常
484,bm74060001,国家外汇管理局湖北省分局网站,http://www.safe.gov.cn/hubei/,国家外汇管理局湖北省分局,正常
485,bm74070001,国家外汇管理局广东省分局网站,http://www.safe.gov.cn/guangdong/,国家外汇管理局广东省分局,正常
486,bm74080001,国家外汇管理局四川省分局网站,http://www.safe.gov.cn/sichuan,国家外汇管理局四川省分局,正常
487,bm74090001,国家外汇管理局陕西省分局网站,http://www.safe.gov.cn/shaanxi/,国家外汇管理局陕西省分局,正常
488,bm74100001,国家外汇管理局北京外汇管理部网站,http://www.safe.gov.cn/beijing/,国家外汇管理局北京外汇管理部,正常
489,bm74110001,国家外汇管理局重庆外汇管理部网站,http://www.safe.gov.cn/chongqing/,国家外汇管理局重庆外汇管理部,正常
490,bm74120001,国家外汇管理局河北省分局网站,http://www.safe.gov.cn/hebei/,国家外汇管理局河北省分局,正常
491,bm74130001,国家外汇管理局山西省分局网站,http://www.safe.gov.cn/shanxi/,国家外汇管理局山西省分局,正常
492,bm74140001,国家外汇管理局内蒙古自治区分局网站,http://www.safe.gov.cn/neimenggu/,国家外汇管理局内蒙古自治区分局,正常
493,bm74150001,国家外汇管理局吉林省分局网站,http://www.safe.gov.cn/jilin/,国家外汇管理局吉林省分局,正常
494,bm74160001,国家外汇管理局黑龙江省分局网站, http://www.safe.gov.cn/heilongjiang/,国家外汇管理局黑龙江省分局,正常
495,bm74170001,国家外汇管理局浙江省分局网站,http://www.safe.gov.cn/zhejiang/,国家外汇管理局浙江省分局,正常
496,bm74180001,国家外汇管理局福建省分局网站,http://www.safe.gov.cn/fujian/,国家外汇管理局福建省分局,正常
497,bm74190001,国家外汇管理局安徽省分局网站,http://www.safe.gov.cn/anhui/,国家外汇管理局安徽省分局,正常
498,bm74200001,国家外汇管理局河南省分局网站,http://www.safe.gov.cn/henan/,国家外汇管理局河南省分局,正常
499,bm74210001,国家外汇管理局江西省分局网站,http://www.safe.gov.cn/jiangxi,国家外汇管理局江西省分局,正常
500,bm74220001,国家外汇管理局湖南省分局网站,http://www.safe.gov.cn/hunan/index.html,国家外汇管理局湖南省分局,正常
501,bm74230001,国家外汇管理局广西壮族自治区分局网站,https://www.safe.gov.cn/guangxi/,国家外汇管理局广西壮族自治区分局,正常
502,bm74240001,国家外汇管理局海南省分局网站,http://www.safe.gov.cn/hainan,国家外汇管理局海南省分局,正常
503,bm74250001,国家外汇管理局贵州省分局网站,http://www.safe.gov.cn/guizhou/index.html,国家外汇管理局贵州省分局,正常
504,bm74260001,国家外汇管理局云南省分局网站,http://www.safe.gov.cn/yunnan/,国家外汇管理局云南省分局,正常
505,bm74270001,国家外汇管理局西藏自治区分局网站,http://www.safe.gov.cn/xizang/,国家外汇管理局西藏自治区分局,正常
506,bm74280001,国家外汇管理局甘肃省分局网站,http://www.safe.gov.cn/gansu/,国家外汇管理局甘肃省分局,正常
507,bm74290001,国家外汇管理局宁夏回族自治区分局网站,http://www.safe.gov.cn/ningxia/,国家外汇管理局宁夏回族自治区分局,正常
508,bm74300001,国家外汇管理局青海省分局网站,http://www.safe.gov.cn/qinghai/,国家外汇管理局青海省分局,正常
509,bm74310001,国家外汇管理局新疆维吾尔自治区分局网站,http://www.safe.gov.cn/xinjiang/,国家外汇管理局新疆维吾尔自治区分局,正常
510,bm74320001,国家外汇管理局深圳市分局网站,http://www.safe.gov.cn/shenzhen/,国家外汇管理局深圳市分局,正常
511,bm74330001,国家外汇管理局大连市分局网站,http://www.safe.gov.cn/dalian/index.html,国家外汇管理局大连市分局,正常
512,bm74340001,国家外汇管理局青岛市分局网站,http://www.safe.gov.cn/qingdao/,国家外汇管理局青岛市分局,正常
513,bm74350001,国家外汇管理局厦门市分局网站,http://www.safe.gov.cn/xiamen/,国家外汇管理局厦门市分局,正常
514,bm74360001,国家外汇管理局宁波市分局网站,http://www.safe.gov.cn/ningbo/,国家外汇管理局宁波市分局,正常
515,bm75000001,国家矿山安全监察局贵州局,https://gz.chinamine-safety.gov.cn/,国家矿山安全监察局,正常
516,bm75000002,国家矿山安全监察局四川局,http://sc.chinamine-safety.gov.cn/,国家矿山安全监察局,正常
517,bm75000003,国家矿山安全监察局广东局,http://gd.chinamine-safety.gov.cn,国家矿山安全监察局综合司,正常
518,bm76000001,国家乡村振兴局门户网站,http://nrra.gov.cn/,国家乡村振兴局,正常
519,bm80000001,中共中央台湾工作办公室国务院台湾事务办公室,http://www.gwytb.gov.cn/,中共中央台湾工作办公室、国务院台湾事务办公室信息中心,正常
520,bm82000001,国家安全部建审许可服务网,http://www.jsxk.gov.cn,国家安全部办公厅,正常
521,bm83000001,国家医疗保障局,http://www.nhsa.gov.cn/,国家医疗保障局办公厅,正常
522,bm84000001,中华人民共和国退役军人事务部,http://www.mva.gov.cn,退役军人事务部,正常
